년도,대학,전형명,계열,모집단위,전과목,국,수,영,탐1,탐2
2022,경인교대,종합,공통,초등교육과,1.906,2.0,3.0,1.0,3.0,3.0
2022,한국교원대,종합,인문,국어교육과,1.906,2.0,3.0,1.0,3.0,3.0
2022,동양미래대학교,학생부위주,자연,컴퓨터정보공학과,4.757,5.0,6.0,4.0,3.0,9.0
2022,한양여자대학교,학생부위주,자연,스마트IT과,4.757,5.0,6.0,4.0,3.0,9.0
2022,서울신학대,교과,자연,IT융합소프트웨어학과,4.757,5.0,6.0,4.0,3.0,9.0
2022,안양대,종합,자연,환경에너지공학과,4.757,5.0,6.0,4.0,3.0,9.0
2022,인하공업전문대학,학생부위주,자연,메카트로닉스공학과,4.757,5.0,6.0,4.0,3.0,9.0
2022,중부대(고양),교과,자연,스마트모빌리티전공,4.757,5.0,6.0,4.0,3.0,9.0
2022,유한대학교,학생부위주,자연,유한생명바이오학과,4.757,5.0,6.0,4.0,3.0,9.0
2022,성공회대,종합,인문,인문융합자율학부,4.94,5.0,9.0,2.0,3.0,6.0
2022,한경대,교과,인문,인문융합공공인재학부,4.94,5.0,9.0,2.0,3.0,6.0
2022,동양미래대학교,학생부위주,인문,호텔관광학과,5.496,,,,,
2022,배화여자대학교,학생부위주,인문,글로벌관광콘텐츠과,5.496,,,,,
2022,숭의여자대학교,학생부위주,인문,호텔관광과,5.496,,,,,
2022,숭의여자대학교,학생부위주,예체능,주얼리디자인과,6.145,8.0,6.0,8.0,6.0,7.0
2022,부천대학교,학생부위주,자연,IT융합비즈니스학과,6.145,8.0,6.0,8.0,6.0,7.0
2022,경인여자대학교,학생부위주,자연,소프트웨어융합학과,6.145,8.0,6.0,8.0,6.0,7.0
2022,이화여대,논술,인문,불어불문학과,3.709,1.0,7.0,2.0,3.0,6.0
2022,유한대학교,학생부위주,인문,보건복지학과,6.795,6.0,9.0,6.0,5.0,7.0
2022,경일대,교과,인문,상담심리학과,6.795,6.0,9.0,6.0,5.0,7.0
2022,가톨릭꽃동네대,교과,인문,사회복지상담심리학부,6.795,6.0,9.0,6.0,5.0,7.0
2022,부천대학교,면접위주,예체능,뷰티케어과 헤어디자인전공,6.462,9.0,8.0,7.0,5.0,7.0
2022,서경대,교과,예체능,헤어디자인학과,6.462,9.0,8.0,7.0,5.0,7.0
2022,동양미래대학교,학생부위주,인문,경영정보학과,6.017,7.0,8.0,6.0,8.0,8.0
2022,배화여자대학교,학생부위주,인문,스마트경영과,6.017,7.0,8.0,6.0,8.0,8.0
2022,유한대학교,학생부위주,자연,글로벌호텔항공학과 항공경영전공,6.017,7.0,8.0,6.0,8.0,8.0
2022,여주대학교,학생부위주,자연,의료재활과학과,6.017,7.0,8.0,6.0,8.0,8.0
2022,강원대,교과,자연,지질지구물리학부,3.912,5.0,5.0,4.0,3.0,8.0
2022,동양미래대학교,학생부위주,자연,기계설계공학과,6.786,8.0,6.0,6.0,7.0,9.0
2022,동양미래대학교,학생부위주,자연,기계설계공학과,6.786,8.0,6.0,6.0,7.0,9.0
2022,동양미래대학교,학생부위주,인문,세무회계학과,5.333,5.0,6.0,4.0,5.0,6.0
2022,호산대학교,학생부위주,자연,간호학과,6.316,7.0,6.0,5.0,5.0,5.0
2022,서영대학교,학생부위주,자연,간호학과,6.316,7.0,6.0,5.0,5.0,5.0
2022,초당대,교과,자연,간호학과,6.316,7.0,6.0,5.0,5.0,5.0
2022,부산여자대학교,학생부위주,자연,간호학과,6.316,7.0,6.0,5.0,5.0,5.0
2022,부천대학교,학생부위주,인문,유아교육과,5.692,7.0,7.0,4.0,5.0,7.0
2022,동남보건대학교,학생부위주,자연,작업치료과,4.974,5.0,5.0,4.0,6.0,8.0
2022,평택대,종합,인문,재활상담학과,4.974,5.0,5.0,4.0,6.0,8.0
2022,한신대,교과,인문,재활상담학,4.974,5.0,5.0,4.0,6.0,8.0
2022,경인여자대학교,면접위주,인문,항공서비스학과,6.154,,,,,
2022,서일대학교,학생부위주,인문,유아교육학과,5.009,7.0,8.0,7.0,6.0,7.0
2022,한양여자대학교,학생부위주,인문,유아교육과,5.009,7.0,8.0,7.0,6.0,7.0
2022,대진대,교과,인문,사회복지아동학부(아동심리교육),5.009,7.0,8.0,7.0,6.0,7.0
2022,부천대학교,학생부위주,인문,유아교육과,5.009,7.0,8.0,7.0,6.0,7.0
2022,경인여자대학교,학생부위주,인문,유아교육학과,5.009,7.0,8.0,7.0,6.0,7.0
2022,남서울대,교과,인문,아동복지학과,5.009,7.0,8.0,7.0,6.0,7.0
2022,백석대,교과,인문,사회복지학부,5.009,7.0,8.0,7.0,6.0,7.0
2022,안산대학교,학생부위주,인문,유아교육과,5.009,7.0,8.0,7.0,6.0,7.0
2022,유한대학교,학생부위주,인문,보건복지학과,5.009,7.0,8.0,7.0,6.0,7.0
2022,연성대학교,면접위주,인문,항공서비스과,5.632,,,,,
2022,경인여자대학교,면접위주,인문,항공서비스학과,5.632,,,,,
2022,김포대학교,실기위주,예체능,실용음악과,6.932,9.0,8.0,7.0,6.0,7.0
2022,경희대,종합,자연,간호학과(자연),1.919,3.0,4.0,2.0,6.0,6.0
2022,중앙대,종합,자연,간호학과(자연),1.919,3.0,4.0,2.0,6.0,6.0
2022,가천대(글로벌),종합,자연,화공생명공학전공,3.477,6.0,4.0,3.0,6.0,6.0
2022,한국공학대,교과,자연,생명화학공학과,3.414,5.0,4.0,4.0,5.0,7.0
2022,동양미래대학교,학생부위주,인문,유통마케팅학과,5.923,7.0,7.0,5.0,6.0,9.0
2022,배화여자대학교,학생부위주,자연,스마트IT학과,5.923,7.0,7.0,5.0,6.0,9.0
2022,서울한영대,교과,인문,재활복지학과,5.923,7.0,7.0,5.0,6.0,9.0
2022,한양여자대학교,학생부위주,자연,빅데이터과,5.923,7.0,7.0,5.0,6.0,9.0
2022,부천대학교,학생부위주,자연,정보통신과,5.923,7.0,7.0,5.0,6.0,9.0
2022,유한대학교,학생부위주,자연,정보통신학과,5.923,7.0,7.0,5.0,6.0,9.0
2022,경인여자대학교,학생부위주,인문,MD상품기획비즈니스학과,5.923,7.0,7.0,5.0,6.0,9.0
2022,청운대(인천),교과,자연,토목환경공학과,5.923,7.0,7.0,5.0,6.0,9.0
2022,수원여자대학교,학생부위주,자연,치위생과,4.701,4.0,5.0,4.0,4.0,7.0
2022,용인대,교과,자연,AI학부,3.739,5.0,5.0,2.0,6.0,7.0
2022,한양여자대학교,학생부위주,자연,스마트IT과,6.228,6.0,6.0,4.0,5.0,6.0
2022,명지전문대학,학생부위주,자연,전자공학과,6.228,6.0,6.0,4.0,5.0,6.0
2022,배화여자대학교,학생부위주,자연,소프트웨어공학과,6.228,6.0,6.0,4.0,5.0,6.0
2022,부천대학교,학생부위주,자연,전자공학과,6.228,6.0,6.0,4.0,5.0,6.0
2022,유한대학교,학생부위주,자연,전자공학과,6.228,6.0,6.0,4.0,5.0,6.0
2022,고려대,종합,인문,자유전공학부,1.342,1.0,4.0,1.0,1.0,1.0
2022,고려대,교과,인문,자유전공학부,1.342,1.0,4.0,1.0,1.0,1.0
2022,서강대,교과,인문,지식융합미디어학부,1.342,1.0,4.0,1.0,1.0,1.0
2022,연세대,종합,인문,교육학부,1.342,1.0,4.0,1.0,1.0,1.0
2022,한양대,교과,인문,정보시스템학과(상경),1.342,1.0,4.0,1.0,1.0,1.0
2022,인천대,종합,인문,세무회계학과,3.709,4.0,5.0,5.0,4.0,4.0
2022,이화여대,종합,자연,인공지능학과(자연),2.117,1.0,2.0,2.0,4.0,6.0
2022,세명대,종합,자연,한의예과,2.117,1.0,2.0,2.0,4.0,6.0
2022,연세대,교과,인문,경영학과,1.368,3.0,4.0,1.0,3.0,3.0
2022,수원대,교과,인문,소방행정학과(야),4.607,8.0,7.0,2.0,2.0,4.0
2022,서울여대,교과,인문,아동학과,3.821,3.0,2.0,3.0,1.0,2.0
2022,한양여자대학교,학생부위주,자연,스마트IT과,5.216,6.0,4.0,5.0,6.0,6.0
2022,성균관대,논술,자연,자연과학계열,2.009,1.0,1.0,2.0,2.0,4.0
2022,강남대,종합,자연,인공지능융합공학부,4.883,6.0,6.0,3.0,6.0,8.0
